id,Team,Event,Outcome,X,Y,PlayerId,X2,Y2,Passer,Recipient
1,Kups,Pass,Successful,25,51,3,33,54,3,19
2,Kups,Pass,Successful,32,60,19,26,72,19,22
3,Kups,Pass,Successful,25,74,22,10,56,22,1
4,Kups,Pass,Successful,54,38,14,65,38,14,7
5,Kups,Pass,Successful,65,38,7,69,42,7,20
6,Kups,Pass,Successful,65,40,20,62,47,20,7
7,Kups,Pass,Successful,61,45,7,55,52,7,19
8,Kups,Pass,Successful,55,55,19,63,91,19,22
9,Kups,Pass,Successful,62,91,22,73,73,22,20
10,Kups,Pass,Successful,75,73,20,81,94,20,29
11,Kups,Pass,Successful,76,88,29,63,95,29,22
12,Kups,Pass,Successful,63,92,22,67,78,22,19
13,Kups,Pass,Successful,28,51,3,49,59,3,7
14,Kups,Pass,Successful,28,63,3,29,66,3,19
15,Kups,Pass,Successful,38,71,19,40,94,19,29
16,Kups,Pass,Successful,41,95,29,22,87,29,22
17,Kups,Pass,Successful,29,85,22,28,35,22,33
18,Kups,Pass,Successful,29,29,33,18,50,33,1
19,Kups,Pass,Successful,65,3,23,74,4,23,25
20,Kups,Pass,Successful,69,7,25,89,37,25,20
21,Kups,Pass,Successful,37,87,19,60,72,19,20
22,Kups,Pass,Successful,56,84,20,43,96,20,19
23,Kups,Pass,Successful,43,95,19,38,85,19,3
24,Kups,Pass,Successful,22,17,14,16,28,14,33
25,Kups,Pass,Successful,15,26,33,21,35,33,3
26,Kups,Pass,Successful,26,42,3,40,89,3,29
27,Kups,Pass,Successful,69,79,19,76,89,19,20
28,Kups,Pass,Successful,24,61,3,33,73,3,20
29,Kups,Pass,Successful,32,72,20,19,76,20,22
30,Kups,Pass,Successful,18,15,25,18,5,25,33
31,Kups,Pass,Successful,20,7,33,20,60,33,22
32,Kups,Pass,Successful,26,69,22,50,73,22,20
33,Kups,Pass,Successful,51,71,20,41,61,20,19
34,Kups,Pass,Successful,38,67,19,80,80,19,29
35,Kups,Pass,Successful,89,71,29,88,61,29,20
36,Kups,Pass,Successful,75,69,19,70,86,19,22
37,Kups,Pass,Successful,68,82,22,77,86,22,19
38,Kups,Pass,Successful,77,86,19,75,72,19,20
39,Kups,Pass,Successful,74,71,20,71,84,20,22
40,Kups,Pass,Successful,71,80,22,77,91,22,19
41,Kups,Pass,Successful,76,91,19,74,81,19,22
42,Kups,Pass,Successful,73,87,22,75,61,22,25
43,Kups,Pass,Successful,5,49,1,6,39,1,33
44,Kups,Pass,Successful,8,37,33,27,43,33,19
45,Kups,Pass,Successful,25,39,19,33,60,19,20
46,Kups,Pass,Successful,40,78,20,37,58,20,19
47,Kups,Pass,Successful,42,61,19,43,36,19,14
48,Kups,Pass,Successful,43,36,14,40,19,14,33
49,Kups,Pass,Successful,39,19,33,42,34,33,14
50,Kups,Pass,Successful,40,32,14,56,19,14,25
51,Kups,Pass,Successful,31,18,14,27,7,14,33
52,Kups,Pass,Successful,27,5,33,42,14,33,25
53,Kups,Pass,Successful,77,6,25,71,14,25,14
54,Kups,Pass,Successful,69,16,14,75,6,14,25
55,Kups,Pass,Successful,75,5,25,68,6,25,23
56,Kups,Pass,Successful,69,3,23,58,4,23,33
57,Kups,Pass,Successful,59,4,33,72,6,33,25
58,Kups,Pass,Successful,71,4,25,61,9,25,33
59,Kups,Pass,Successful,60,6,33,66,16,33,14
60,Kups,Pass,Successful,65,18,14,54,6,14,33
61,Kups,Pass,Successful,47,5,33,37,35,33,3
62,Kups,Pass,Successful,37,29,3,48,74,3,22
63,Kups,Pass,Successful,59,80,22,76,55,22,7
64,Kups,Pass,Successful,74,46,7,67,71,7,22
65,Kups,Pass,Successful,68,74,22,80,95,22,29
66,Kups,Pass,Successful,59,62,19,55,48,19,25
67,Kups,Pass,Successful,59,47,25,58,64,25,19
68,Kups,Pass,Successful,62,71,19,38,72,19,22
69,Kups,Pass,Successful,37,71,22,44,52,22,3
70,Kups,Pass,Successful,57,50,3,73,48,3,25
71,Kups,Pass,Successful,23,50,3,22,29,3,33
72,Kups,Pass,Successful,20,27,33,39,66,33,20
73,Kups,Pass,Successful,33,14,25,25,6,25,33
74,Kups,Pass,Successful,27,6,33,50,5,33,7
75,Kups,Pass,Successful,16,9,25,5,17,25,3
76,Kups,Pass,Successful,3,29,3,11,66,3,22
77,Kups,Pass,Successful,27,76,22,35,66,22,14
78,Kups,Pass,Successful,35,63,14,29,76,14,22
79,Kups,Pass,Successful,34,76,22,40,49,22,19
